title,link,problem
Faturas  depois de cancelado,/vivo-celular-fixo-internet-tv/faturas-depois-de-cancelado_hiQ82WlYOg6hUBvu/,Cobrança indevida
Cobrança indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_lCXqEtyXw044D5K7/,Cobrança indevida
Cobrança indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_epeoCwtYisYD7q3g/,Cobrança indevida
Vivo cobrando fatura já paga,/vivo-celular-fixo-internet-tv/vivo-cobrando-fatura-ja-paga_RbYV8tbEkKwDj-zf/,Cobrança indevida
O setor de Retenção efetuou um falso cancelamento,/vivo-celular-fixo-internet-tv/o-setor-de-retencao-efetuou-um-falso-cancelamento_Qc3dX-WwdeMX6Po3/,Cobrança indevida
Negativação indevida.,/vivo-celular-fixo-internet-tv/negativacao-indevida_9Jjm2aICD8KL-zsM/,Cobrança indevida
Crédito antecipado,/vivo-celular-fixo-internet-tv/credito-antecipado_yLYWuzbAFLN1EgWw/,Cobrança indevida
FIZ DUAS RECARGAS E A VIVO CONSUMIU O VALOR SEM MOTIVO APARENTE,/vivo-celular-fixo-internet-tv/fiz-duas-recargas-e-a-vivo-consumiu-o-valor-sem-motivo-aparente_AIswa4t7Y_9626eJ/,Cobrança indevida
"Fatura indevida, serviço não ofertado",/vivo-celular-fixo-internet-tv/fatura-indevida-servico-nao-ofertado_QWeS90Sg1_w8-Wjf/,Cobrança indevida
Cobrança indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_hvKckfeyGDjwjFRz/,Cobrança indevida
Desligaram meu número pré-pago,/vivo-celular-fixo-internet-tv/desligaram-meu-numero-pre-pago_eKO01f9FT_RThsyE/,Cobrança indevida
Multa contratual,/vivo-celular-fixo-internet-tv/multa-contratual_HrXqF7cXbSm3un-s/,Cobrança indevida
Cobrança indevida,/vivo-celular-fixo-internet-tv/cobranca-indevida_457DzDVKRnDa4oR6/,Cobrança indevida
Descontos indevidos de forma recorrente,/vivo-celular-fixo-internet-tv/descontos-indevidos-de-forma-recorrente_2Sd0xCn8gM5VPdqE/,Cobrança indevida
Vivo estou Passando por aqui antes de entrar em contato com a anatel!,/vivo-celular-fixo-internet-tv/vivo-estou-passando-por-aqui-antes-de-entrar-em-contato-com-a-anatel_Quml4ryUpGK9jvJe/,Cobrança indevida
Desconto indevido,/vivo-celular-fixo-internet-tv/desconto-indevido_ofhEn9xXYbVK881H/,Cobrança indevida
Desconto abusivo de recarga,/vivo-celular-fixo-internet-tv/desconto-abusivo-de-recarga_a_ugnuVJYbaQup2F/,Cobrança indevida
Cortaram a minha linha,/vivo-celular-fixo-internet-tv/cortaram-a-minha-linha_HIb1TN0MZLQtUnnI/,Cobrança indevida
Sujou meu nome,/vivo-celular-fixo-internet-tv/sujou-meu-nome_kL-Gh55mzC7d7lUv/,Cobrança indevida
